X1,GEO.id2,STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE,GEO.display.label,Median_house_value,Total_units,Vacant_units,Median_rooms,Mean_household_size_owners,Mean_household_size_renters,Built_2005_or_later,Built_2000_to_2004,Built_1990s,Built_1980s,Built_1970s,Built_1960s,Built_1950s,Built_1940s,Built_1939_or_earlier,Bedrooms_0,Bedrooms_1,Bedrooms_2,Bedrooms_3,Bedrooms_4,Bedrooms_5_or_more,Owners,Renters,Median_household_income,Mean_household_income
5225,6067009311,6,67,9311,6407,38.469217,-121.357555,"Census Tract 93.11, Sacramento County, California",286500,2069,77,6.2,2.96,3.85,2.9,45.4,26.5,13.5,5.7,3,2.4,0,0.5,0,1.9,4,52,31.2,11,79.1,20.9,76176,84807
6157,6073018603,6,73,18603,6810,33.207491,-117.367845,"Census Tract 186.03, San Diego County, California",308600,2353,276,4.3,4.17,2.86,9,13.6,16.7,19.3,12.2,11.3,13.2,3.8,0.8,1.8,27,44,22.2,2.5,2.5,26.2,73.8,50771,60587
2202,6037310100,6,37,310100,5849,34.205306,-118.316163,"Census Tract 3101, Los Angeles County, California",807200,2069,102,6.3,2.71,3.34,1.6,4.9,4.3,12.7,13.1,7.6,45.8,4.8,5.2,0,1.4,16.5,42.2,28.8,11,89.9,10.1,85250,126716
3463,6037920114,6,37,920114,6490,34.432565,-118.560159,"Census Tract 9201.14, Los Angeles County, California",466500,2425,59,4,2.96,2.51,13.2,53.8,21.3,9.6,0,0.6,1,0,0.6,3.3,13.2,37.9,30.3,14.9,0.4,47,53,89541,99741
10215,42091201800,42,91,201800,2779,40.106455,-75.12555,"Census Tract 2018, Montgomery County, Pennsylvania",363000,1438,126,5.8,2.45,1.44,0,5.4,1.9,0.9,10.7,22.3,26.1,9.7,22.9,4.6,22.5,22.8,23.9,15.9,10.3,56.6,43.4,54516,104595
3926,6059021924,6,59,21924,4192,33.863885,-117.729821,"Census Tract 219.24, Orange County, California",668200,1530,103,6.2,3.38,2.74,1.6,0,59,33.2,4.6,0.5,0,0,1.1,0,2.5,23.1,29.8,39,5.6,77.9,22.1,114653,128556
557,6013347000,6,13,347000,6171,37.939348,-122.102582,"Census Tract 3470, Contra Costa County, California",968900,2346,41,7.5,2.64,2.39,1.5,2,13.3,19.1,26.3,17.2,12.4,5.3,2.8,1.1,2.8,6.5,31.2,45.4,13.1,89.8,10.2,160903,211269
3121,6037600601,6,37,600601,2461,33.94171,-118.322258,"Census Tract 6006.01, Los Angeles County, California",424300,1034,192,5.5,2.83,2.28,0,5.7,0.8,1.8,6.4,12.4,45.3,26,1.6,0,12.8,23.3,49.5,9.3,5.1,71.9,28.1,65083,76543
10704,42101026000,42,101,26000,2788,40.075635,-75.170718,"Census Tract 260, Philadelphia County, Pennsylvania",143400,1208,111,6,2.54,2.05,0,0,0,1.1,0.6,6.1,69.8,16.5,6,0,7.4,15.8,69.9,5.7,1.2,92.6,7.4,49861,58796
840,6019005701,6,19,5701,3697,36.829318,-119.690931,"Census Tract 57.01, Fresno County, California",206500,1421,58,5.2,2.82,2.65,0,4.3,19.5,22.4,20.8,13,8.8,3.8,7.5,0,4.9,30.9,48.8,14.9,0.5,55.2,44.8,48226,55418
3779,6055200400,6,55,200400,3618,38.306675,-122.271838,"Census Tract 2004, Napa County, California",685400,1707,238,5.3,2.24,2.04,3.2,0.4,1.8,9.5,12.4,16,13.4,20.9,22.5,5.4,9.9,36,35.3,11.6,1.8,62.4,37.6,92804,113203
5439,6071003503,6,71,3503,5489,34.121362,-117.391364,"Census Tract 35.03, San Bernardino County, California",243800,1358,48,6.2,4.33,4.73,0,8.4,6.5,67.7,8.5,4.2,4,0,0.7,0,1.5,6.4,40.1,43.1,8.9,78.6,21.4,45814,64725
1924,6037234800,6,37,234800,3426,33.981779,-118.322245,"Census Tract 2348, Los Angeles County, California",303900,1174,121,5.7,3.72,3.07,0,0,1.7,0,8,7.6,9.4,19.4,53.9,3.9,5.6,32.3,39.8,15.7,2.7,75.4,24.6,54053,62574
2241,6037400603,6,37,400603,5249,34.148746,-117.912984,"Census Tract 4006.03, Los Angeles County, California",353900,1938,129,5,2.71,2.65,1.4,9.9,6,23.2,46.4,4.8,6.8,1.4,0,0.4,6.5,39.6,32.6,18.4,2.5,68.9,31.1,73396,82388
10386,42095015201,42,95,15201,6840,40.86931,-75.211178,"Census Tract 152.01, Northampton County, Pennsylvania",165800,3032,168,5.8,2.66,1.89,0,0.7,3.5,8.2,5.7,4.1,11.1,10.1,56.5,0.6,12.5,17.5,50.9,14.1,4.5,68,32,51461,56686
975,6029000503,6,29,503,6347,35.424071,-119.101696,"Census Tract 5.03, Kern County, California",320000,2067,133,6.7,3.11,3.1,12.5,35,15.9,19.5,8.9,7,1.2,0,0,0,0,3.5,49.1,45.2,2.2,93.6,6.4,105573,115814
2397,6037408004,6,37,408004,2246,34.037983,-117.915905,"Census Tract 4080.04, Los Angeles County, California",309800,819,74,4.6,2.97,2.99,0,2.3,2.1,20.9,62.6,0.6,7.9,0,3.5,1.1,19.2,34.4,42.5,2.8,0,57.2,42.8,74414,78101
4825,6065044520,6,65,44520,1704,33.827394,-116.351161,"Census Tract 445.20, Riverside County, California",242900,923,290,4.9,2.6,3.11,4.3,11.1,17.3,39,6.4,0,16.6,5.3,0,0,9.4,53.3,25.8,11.5,0,85.8,14.2,47631,61564
566,6013352102,6,13,352102,5586,37.826888,-122.11905,"Census Tract 3521.02, Contra Costa County, California",997600,1847,49,7.3,2.72,2.72,0,0.7,3.9,14.4,28.1,42.6,7.7,1.2,1.4,0,0,9.1,32.9,46,12.1,94.5,5.5,144833,186962
6252,6073020601,6,73,20601,5560,33.11266,-117.077442,"Census Tract 206.01, San Diego County, California",377300,1401,81,4.8,3.27,4.05,0,1.4,8.1,5.1,31,13.9,11.3,7.5,21.6,3.5,6.5,56.7,29.1,4.1,0,19.7,80.3,34974,44180
5238,6067009326,6,67,9326,4804,38.459832,-121.315349,"Census Tract 93.26, Sacramento County, California",548300,1509,0,7.8,3.39,5.21,25.6,33,21.8,7.7,7.9,1.4,1.3,0,1.3,0,0,1.8,20.8,38.1,39.3,88.4,11.6,116122,132199
3104,6037577400,6,37,577400,3253,33.762708,-118.134542,"Census Tract 5774, Los Angeles County, California",895800,1837,210,4.2,2.04,1.55,0,0.7,0.5,2.8,12.8,9.1,11.2,15.7,47.1,5.9,36,33.9,15.5,5.9,2.8,35.6,64.4,72755,97964
5000,6067003700,6,67,3700,4219,38.534946,-121.468886,"Census Tract 37, Sacramento County, California",157600,1367,155,4.6,4.23,3.09,1.8,7.9,2.8,8.6,13.6,3.8,21,16.4,24.1,1.5,15.4,37.1,30.5,15,0.6,41.2,58.8,26354,40393
2875,6037543321,6,37,543321,5418,33.868928,-118.256475,"Census Tract 5433.21, Los Angeles County, California",384200,1785,49,5.9,2.73,2.51,1.2,29.4,6.8,14.8,20.8,25.3,1.7,0.1,0,1,3.5,26.2,37.1,28.3,3.9,93.7,6.3,74107,95270
11208,42133010400,42,133,10400,3705,39.953528,-76.696291,"Census Tract 104, York County, Pennsylvania",147500,1637,66,6.2,2.48,2.36,0,1.1,4.3,7.4,6.3,8,35.7,23.4,13.9,0,6,24.3,56,12.3,1.4,86.6,13.4,56442,70281
5437,6071003404,6,71,3404,4946,34.106606,-117.404813,"Census Tract 34.04, San Bernardino County, California",112300,1358,163,4.4,4.99,3.9,7.7,1.8,20.6,31.2,17.1,9.9,5.8,5.8,0,1.3,6.8,50.4,35.3,5.6,0.6,29.4,70.6,36534,45048
7199,6085509500,6,85,509500,5565,37.395194,-122.090144,"Census Tract 5095, Santa Clara County, California",870700,2370,133,3.9,2.42,2.46,0,4.1,5.7,21.7,21.4,8.5,17.6,5.7,15.2,4.1,31.3,35.9,25.6,2.4,0.7,25,75,70498,86879
8446,42003561500,42,3,561500,3140,40.440452,-79.869139,"Census Tract 5615, Allegheny County, Pennsylvania",65200,1865,250,5,2.12,2.08,0,3.2,1.4,18.8,15.6,9.9,6.3,22,22.8,0,14.5,48.6,27.2,5.5,4.2,47.7,52.3,37404,50324
10988,42121201100,42,121,201100,4835,41.434211,-79.631531,"Census Tract 2011, Venango County, Pennsylvania",80200,2777,828,5.6,2.37,2.35,0.5,3.6,7.6,10.2,13.9,9.9,15.2,7.9,31.1,1.4,6.8,33.2,47,9.4,2.2,81.2,18.8,42349,51185
4735,6065043239,6,65,43239,6792,33.554219,-116.995399,"Census Tract 432.39, Riverside County, California",614500,2192,142,7.1,2.69,3.55,6.3,22.7,18.6,32.9,15.7,2.4,1.4,0,0,0,0.6,10,55.9,24.5,9,90.8,9.2,83015,109390
5114,6067007424,6,67,7424,3508,38.665061,-121.365943,"Census Tract 74.24, Sacramento County, California",172300,1419,161,4.7,2.43,3.05,0.7,6.3,2.4,26.5,25.4,19.4,13.3,3.2,2.8,0,6.8,52.5,31,7.3,2.5,38.3,61.7,41509,44792
1934,6037236204,6,37,236204,3203,34.014765,-118.349474,"Census Tract 2362.04, Los Angeles County, California",,1430,97,4.1,,2.47,0,0,0,0,12.7,14.1,49.1,22,2.2,4.1,45.4,46,4.5,0,0,0,100,27008,31172
10060,42081011602,42,81,11602,6379,41.228796,-77.001298,"Census Tract 116.02, Lycoming County, Pennsylvania",112400,2903,263,6,2.48,2.24,0,1,4.2,7.2,16.1,7.1,13.2,7.3,44,1.3,4.7,28.5,50.5,12.5,2.6,64.2,35.8,49139,54459
3692,6053000800,6,53,800,5628,36.675272,-121.612857,"Census Tract 8, Monterey County, California",194500,1311,34,4.5,3.96,3.93,0,2.5,3.6,10.8,18.9,14,21.9,18.2,10.2,0.5,23,37.9,29.6,7,2,46.4,53.6,45744,53395
6133,6073017809,6,73,17809,2293,33.157413,-117.326411,"Census Tract 178.09, San Diego County, California",688900,890,24,6.4,2.7,2.06,1.1,12.2,3.1,17.9,22,17.5,15.8,6.7,3.5,0,6.7,12.6,40.9,33.4,6.4,82.8,17.2,76429,98851
2268,6037402101,6,37,402101,4623,34.085767,-117.733416,"Census Tract 4021.01, Los Angeles County, California",329500,1130,18,5.4,4.21,4.27,0,0,12.3,4.8,5.1,9.8,62,4.6,1.3,0,0,10.6,68.2,19.8,1.3,79.5,20.5,59615,65388
8928,42021013500,42,21,13500,2598,40.310326,-78.898423,"Census Tract 135, Cambria County, Pennsylvania",45300,1414,259,5.4,2.68,2.14,0,0,6,2.8,15.6,10.5,13.9,10.4,40.8,2.1,13.6,25.7,48.9,8,1.8,38.8,61.2,20792,27613
1862,6037222700,6,37,222700,3748,34.020501,-118.285664,"Census Tract 2227, Los Angeles County, California",,155,38,3.7,,2.91,21.3,24.5,6.5,15.5,12.9,5.8,9.7,0,3.9,12.9,31,34.2,14.2,7.7,0,0,100,10625,25943
10465,42099030502,42,99,30502,5946,40.390241,-77.218877,"Census Tract 305.02, Perry County, Pennsylvania",160600,2359,199,5.9,2.56,2.79,1.8,6.1,15.9,16.1,17.2,4.3,4.5,4.2,30.1,0.6,3.8,22.9,55.7,13.3,3.6,82.9,17.1,58723,65234
3174,6037603004,6,37,603004,1512,33.893365,-118.297063,"Census Tract 6030.04, Los Angeles County, California",242800,693,0,3.4,2.22,2.41,0,0,0,26.3,30.7,7.1,19.5,11,5.5,5.3,29.3,54.3,8.7,2.5,0,27.3,72.7,51210,51846
5130,6067007801,6,67,7801,5481,38.630954,-121.31375,"Census Tract 78.01, Sacramento County, California",349200,2584,130,5.2,2.62,2.32,2.9,5,8.7,18.3,16.1,19.6,22.8,4.3,2.3,3.5,20.8,24.8,26.6,21.4,2.9,52.7,47.3,46917,92748
7,6001400700,6,1,400700,4206,37.841719,-122.27215,"Census Tract 4007, Alameda County, California",460800,1977,236,4.3,2.72,2.15,0,0.6,1.8,2.2,3.3,0.8,9.4,9.7,72.4,8.2,22.3,43.2,16.7,6.5,3.1,32.2,67.8,38646,56705
6455,6075042601,6,75,42601,3687,37.783214,-122.481097,"Census Tract 426.01, San Francisco County, California",,1829,114,4.2,2.54,2.06,0,0.9,1,6.2,10.2,14.5,9,13.4,44.7,5.4,24.3,49.8,18.2,2.3,0,27.2,72.8,76469,105166
8453,42003562500,42,3,562500,3032,40.456885,-80.052869,"Census Tract 5625, Allegheny County, Pennsylvania",53300,1524,476,5.7,3.01,2.31,0,0,0.3,5.4,4,2.8,4.9,8.9,73.8,1.5,9,24.8,38.1,16.4,10.2,52.8,47.2,26144,34474
8867,42019911100,42,19,911100,4698,40.846312,-80.008597,"Census Tract 9111, Butler County, Pennsylvania",176900,2041,43,5.8,2.32,2.34,9.1,14.4,22.4,3.5,14,15.9,5.9,5.5,9.3,1.3,3.6,27.9,55.6,10,1.6,81.5,18.5,50171,64580
5570,6071009711,6,71,9711,9401,34.486791,-117.226842,"Census Tract 97.11, San Bernardino County, California",296300,3263,326,7.3,3.24,3.16,7.4,19.9,34,23.9,8.8,2.6,2.6,0.4,0.4,0,1.6,5.6,40.5,34.6,17.6,86.8,13.2,91222,99969
7242,6085511915,6,85,511915,3806,37.245365,-121.880685,"Census Tract 5119.15, Santa Clara County, California",554600,1285,39,4.2,2.48,3.13,0,1.6,18.7,7.2,25.8,30.5,9.6,6.5,0,0,26,50.1,16.4,4.8,2.6,29,71,44673,61879
7116,6085506304,6,85,506304,4958,37.312304,-121.970927,"Census Tract 5063.04, Santa Clara County, California",571000,2164,214,3.4,2.75,2.29,1.2,0.4,8.9,18.3,28.1,26.5,13.1,3,0.4,12.7,33.1,36.6,7.8,8.8,1,20.6,79.4,69485,85627
4332,6059099308,6,59,99308,5847,33.679396,-118.017214,"Census Tract 993.08, Orange County, California",,2245,151,7.4,2.73,3.14,0,18.8,30.5,31.4,14.8,1.8,1.1,0,1.6,0,1.1,10.8,32.1,45.2,10.9,90.5,9.5,182000,218088
1406,6037128101,6,37,128101,3738,34.190563,-118.43523,"Census Tract 1281.01, Los Angeles County, California",436500,1298,0,4.5,3.03,2.94,0,4.1,8.6,11.5,7.2,11.8,37.4,19.4,0,3.1,18,48,23.2,6.7,1,40.9,59.1,50584,68672
3933,6059032015,6,59,32015,6548,33.609494,-117.685359,"Census Tract 320.15, Orange County, California",621900,1946,57,7.1,3.22,2.33,0.7,0.4,2.8,6.3,68.9,19.6,0.8,0.6,0,0.7,7.8,5,26.5,44.7,15.4,84.5,15.5,94188,110388
225,6001436500,6,1,436500,4583,37.659356,-122.070903,"Census Tract 4365, Alameda County, California",397800,1806,125,3.8,3.22,2.41,1.2,3,2.1,8.7,42.5,12.6,21.7,4.9,3.2,4.8,37,36.1,18.2,1.5,2.4,25.8,74.2,51523,62266
274,6001441523,6,1,441523,4077,37.564604,-122.046985,"Census Tract 4415.23, Alameda County, California",536600,1436,0,4.4,2.52,2.81,0,0.8,6,69.4,18.7,3.6,1.5,0,0,0,5.8,57,24.2,13,0,56.1,43.9,115246,109974
19,6001402200,6,1,402200,2385,37.807292,-122.295186,"Census Tract 4022, Alameda County, California",374200,1020,158,4.5,2.92,2.31,0.9,9.2,1.6,0.9,6.9,2.3,4.9,12.4,61.1,9.3,19.8,28.7,31.6,4.8,5.8,32,68,39286,52775
3023,6037571704,6,37,571704,4107,33.849648,-118.187246,"Census Tract 5717.04, Los Angeles County, California",285800,1189,89,4.5,4.38,3.08,0,0,5.9,3.7,5,38,9.5,9,28.9,0,24.7,48.9,14.6,8.4,3.4,55.4,44.6,40686,51786
5304,6071000205,6,71,205,4736,34.079487,-117.687219,"Census Tract 2.05, San Bernardino County, California",292500,1455,126,5.6,3.76,3.52,0,0,0,11.8,12.8,35.5,35.7,0.5,3.7,2.8,8.9,17.8,44.2,25.4,0.8,62.8,37.2,48950,65655
9632,42065951200,42,65,951200,3296,40.948496,-78.974018,"Census Tract 9512, Jefferson County, Pennsylvania",72700,1646,202,5.8,2.33,1.99,1.5,1.4,1.9,5.5,20.3,11.3,8.7,10,39.3,2.7,12.9,27.1,43.7,12.3,1.3,55.7,44.3,31371,42047
586,6013355302,6,13,355302,3484,37.919325,-122.002128,"Census Tract 3553.02, Contra Costa County, California",902300,1230,21,8.2,3.04,2.33,2.4,5.7,16.5,12.1,47.1,12.7,1.1,1.5,1,0,0.9,2.4,17.7,49.9,29,97.5,2.5,163633,179046
2208,6037310601,6,37,310601,5716,34.194607,-118.326726,"Census Tract 3106.01, Los Angeles County, California",472000,2369,93,3.6,3.04,2.36,0,0,6.5,15.9,17.6,11.3,16.9,20.7,11.1,7.3,33.4,40.6,10.5,7,1.2,28.5,71.5,52824,68209
9173,42041010300,42,41,10300,4388,40.26631,-76.913079,"Census Tract 103, Cumberland County, Pennsylvania",133600,2322,205,5.3,2.29,2.04,0.8,5,2.6,9.7,21.4,11,10.8,2.8,35.9,1.2,24.5,25.1,39.4,9.9,0,40.9,59.1,48585,65215
1387,6037127103,6,37,127103,2939,34.204455,-118.429476,"Census Tract 1271.03, Los Angeles County, California",188800,1143,77,3,2.4,2.34,0,0,1.5,9.4,50,18.5,14,2,4.5,23.3,35.3,32.6,7.7,0,1.1,14.1,85.9,33908,39869
7870,6111002600,6,111,2600,3211,34.274503,-119.272513,"Census Tract 26, Ventura County, California",554600,1407,153,4.7,2.48,2.3,0.7,0.5,0.6,5,8.7,3.8,13.1,18.9,48.5,0.9,20,44.5,32.3,2.3,0,32.9,67.1,52230,63849
5445,6071003603,6,71,3603,4141,34.08841,-117.391778,"Census Tract 36.03, San Bernardino County, California",266400,951,107,6,5.06,6.45,0,0,8.9,61.3,28.2,0.4,0.4,0,0.7,0,0,1.7,46.8,46.9,4.6,92.3,7.7,68750,77465
1898,6037231210,6,37,231210,3688,34.014538,-118.298029,"Census Tract 2312.10, Los Angeles County, California",300000,1173,27,3.7,4.47,2.74,0,2.3,0,1.4,15.9,9.7,1.9,13.1,55.8,8.6,44.7,31.8,9.7,3.7,1.5,8.2,91.8,31337,37107
169,6001428500,6,1,428500,3183,37.760371,-122.258967,"Census Tract 4285, Alameda County, California",601300,1534,101,4,2.16,2.4,1.1,1.5,0.9,0,26.3,44.8,11,2.1,12.3,0,23.4,54.2,11.6,7.6,3.1,33.6,66.4,64784,81277
718,6019001410,6,19,1410,9109,36.71449,-119.720108,"Census Tract 14.10, Fresno County, California",180700,2241,161,5.8,4.37,4.34,28.3,19,15,8.7,13.6,4.2,5.6,1,4.6,1.3,3.1,15.4,44.6,27.2,8.3,75.3,24.7,48829,56226
6440,6075032802,6,75,32802,4047,37.753152,-122.480832,"Census Tract 328.02, San Francisco County, California",715500,1462,172,5.3,2.98,2.28,0,4,4.9,0,12.4,2.1,4.5,35.4,36.7,0,10.9,50.8,31.3,4.4,2.7,63.6,36.4,60246,78467
10899,42107002400,42,107,2400,2414,40.722248,-76.114733,"Census Tract 24, Schuylkill County, Pennsylvania",67800,1223,158,6.3,2.17,2.17,1.6,0.9,2,5.7,8.7,4,5.2,8.7,63.3,0,5.2,28.5,47.4,12,6.8,79.4,20.6,37112,45646
8595,42011010303,42,11,10303,1987,40.442755,-75.970383,"Census Tract 103.03, Berks County, Pennsylvania",147500,794,52,6.3,2.77,2.38,6.8,7.1,7.8,22.5,9.6,9.1,4.9,8.3,23.9,0,5,12.5,54.7,23.4,4.4,88.3,11.7,58782,68923
7470,6095252607,6,95,252607,3819,38.256104,-122.027842,"Census Tract 2526.07, Solano County, California",207800,1186,91,4.7,2.7,3.56,4.4,2.4,0,9.4,14.8,13.2,48.4,6.1,1.3,0.4,5,36.6,53,4.3,0.8,38.6,61.4,39435,50345
7182,6085508800,6,85,508800,3766,37.385269,-122.024454,"Census Tract 5088, Santa Clara County, California",631400,1483,107,4,3.01,2.82,0,2.9,10.7,22,24.8,8.4,16,12.1,3.1,3.8,27.7,39.8,24.2,0.7,3.8,29.9,70.1,72016,88080
25,6001402900,6,1,402900,1434,37.804261,-122.267119,"Census Tract 4029, Alameda County, California",,894,120,2.6,,1.48,1.9,0,0,3,13.6,8.2,8.6,16.9,47.8,30.6,65.2,2,0,0,2.1,1.4,98.6,19766,27340
468,6013308002,6,13,308002,4194,37.988061,-121.768342,"Census Tract 3080.02, Contra Costa County, California",349200,1387,150,7.2,3.22,4.13,0.5,11.8,42.2,38.7,4.1,2.7,0,0,0,0,0,0.9,37.3,51.3,10.5,87.7,12.3,100888,113608
3388,6037910208,6,37,910208,6340,34.594507,-118.156961,"Census Tract 9102.08, Los Angeles County, California",254800,1945,157,6.5,3.95,3.69,4.7,13.7,23.9,30.2,3.9,2.4,21.2,0,0,2.7,4.4,5.5,38.5,37.9,11,70.7,29.3,63217,77884
10431,42095018100,42,95,18100,6324,40.641322,-75.221217,"Census Tract 181, Northampton County, Pennsylvania",277900,2594,211,6.7,2.58,2.38,14.5,17.7,8,10.9,10.9,7,7.9,3.5,19.6,1.7,3.5,21.7,46.3,21.7,5.1,86.4,13.6,83315,104908
9072,42029307400,42,29,307400,3593,39.95861,-75.919698,"Census Tract 3074, Chester County, Pennsylvania",195500,1434,130,6.2,2.85,2.45,0.9,8.2,9.1,16,5.6,7,9.2,5,39,2.2,14.6,20.5,47,14.8,0.8,74.7,25.3,66071,72294
2224,6037311802,6,37,311802,3813,34.171494,-118.311613,"Census Tract 3118.02, Los Angeles County, California",612400,1493,121,3.3,4.27,2.58,0.9,0,1.7,25.9,31.3,7.7,8.6,14.8,9.1,4.3,39.8,47.2,7,0,1.7,10.6,89.4,48077,59162
2628,6037500402,6,37,500402,4910,34.003788,-118.077895,"Census Tract 5004.02, Los Angeles County, California",326400,1184,26,4.5,4.07,3.11,0,0,3.1,5.2,12.3,11.2,33.9,10.2,24.1,8.8,23.1,45.5,17.6,4,1,46.4,53.6,36231,49537
7509,6097150100,6,97,150100,2322,38.257972,-122.43781,"Census Tract 1501, Sonoma County, California",914900,1164,76,5.6,2.43,3,0.7,5.5,6.4,5,19.1,13.6,14.6,12.1,23.1,2.7,11.1,30.9,41.1,11.5,2.7,65.7,34.3,79468,142999
9658,42069102300,42,69,102300,3656,41.406509,-75.679711,"Census Tract 1023, Lackawanna County, Pennsylvania",92500,1867,355,5.2,2.36,2.03,0,0,4.4,2.7,8.7,4.1,5.9,12.3,61.9,2.7,17.5,29.4,43.2,5.4,1.9,50.7,49.3,31280,37955
